RestaurantName,Longitude,Latitude
"Pizza Hut",-0.4444549,52.1331138
"Pizza Hut",-0.6844354,52.2929867
"Pizza Hut",1.0794655,51.2791589
"Pizza Express",-1.4779455,53.3795139
"Pizza Hut",-2.9754382,53.3405528
"Pizza Express",-1.1125643,51.2505609
"Domino's Pizza",0.5847874,51.3681974
"Pizza Express",-0.1667732,51.4427534
"Fire and Stone Pizza",-1.2607563,51.7537252
"Pizza Hut",0.8726544,51.1609327
"Pizza Express",0.8733892,51.1500438
"Pizza Express",-1.6422014,53.8367833
"Pizza Express",-0.1371964,51.4887868
"Pizza Express",-0.1187798,51.5178558
"Pizza Express",-0.1115031,51.4872063
"Pizza Lounge",-0.0416251,51.5067242
"M2 Pizza Piaza",-0.5565052,51.319592
"La Pizza",-6.2604644,53.3511021
"Pizza Express",-0.5671312,51.2375803
"Pizza Express",-0.1151021,51.5056639
"Pizza Hut",-3.0299459,53.2085553
"Pizza Express",-0.0802923,51.5097312
"Pizza Express",-0.096,51.5082022
"Pizza Hut",0.1252077,52.2017697
"Pizza Express",0.1250411,52.2016085
"Pizza Express",-0.1036763,51.5353744
"Pizza Hut",0.1369888,52.1900999
"Pizza Express",-0.1575647,51.521809
"Pizza Hut",-1.7467111,53.7912011
"Pizza Express",0.1198543,52.208148
"Pizza Express",-1.3405946,53.7102301
"Pizza Hut",-1.335071,53.7094896
"Pizza Hut",-2.58836,53.3860209
"Pizza Express",-1.2810592,51.6706361
"Pizza Hut",-2.6984306,53.3258451
"Pizza Express",-0.2088002,51.4960949
"Pizza Hut",-0.187823,51.5128196
"Pizza Express",-0.1227098,51.5205849
"Pizza Hut",-1.8951514,52.4803654
"Pizza Express",-1.575056,54.7759463
"Pizza Express",1.1584986,52.052591
"Pizza Hut",1.1169174,52.0835229
"Pizza Express",-1.5321027,53.7910804
"Pizza Express",-1.2620471,51.7515086
"Pizza Express",-1.5397676,53.795575
"Pizza Express",-0.2786579,51.9470213
"Pizza Express",-0.1273566,51.5283992
"Pizza Express",-0.1076198,51.5169781
"Pizza Express",-0.17064,51.478862
"Pizza Express",1.2913682,52.6277909
"Pizza Express",-2.2460967,53.4777114
"Pizza Express",-0.126123,51.508406
"Pizza Express",-0.1046512,51.5143612
"Pizza Express",-1.9115762,52.4779301
"Pizza Hut",-1.8930933,52.4775925
"Dough Pizza Kitchen",-2.2375409,53.4844086
"Pizza Express",-1.553235,53.798511
"Pizza Hut",-3.536989,50.7174405
"Pizza Hut",-4.1238105,50.3678455
"Pizza Express",-0.0836318,51.5127065
"Pizza Express",-0.334324,51.4271329
"Pizza Hut",-0.1338329,51.5160188
"Pizza Express",-0.1454314,51.5371928
"Pizza Hut",-0.128808,51.513179
"Pizza Express",0.013905,50.8739149
"Pizza Hut",-2.1352555,51.4503199
"Pizza Express",-3.5316702,50.7229203
"Pizza Express",-0.2168664,51.4250871
"Pizza Express",-0.906114,51.5372163
"Pizza Hut",-2.3530233,53.3989572
"Pizza Express",-2.1131092,51.4572522
"Gino's Pasta & Pizza",-1.2089431,52.7707357
"Pizza Express",-0.1418379,51.5463722
"Pizza Express",1.1533004,52.0587013
"Pizza Express",-0.1653554,51.4890224
"Pizza Hut",-2.5964241,53.4086507
"Pizza Hut",-1.2233627,52.7807562
"Pizza Hut",0.2145762,51.4470608
"Pizza Express",0.2486798,51.5562793
"Pizza Express",-1.5350266,52.2879619
"Pizza Hut",-2.8792339,53.3507003
"Pizza Hut",-2.9446546,51.5744734
"The Gourmet Pizza Company",-0.0228495,51.5045698
"Pizza Hut",-4.3766141,55.9028552
"Pizza Hut",-0.2646837,51.3338508
"Pizza Express",-0.1262174,51.5175729
"Pizza Express",-0.1230303,51.5135867
"Pizza Express",-0.12728,51.511361
"Pizza Express",-0.1321587,51.5113057
"Pizza Express",-0.0792555,51.5188558
"Pizza Express",-0.0940927,51.5174595
"Pizza Hut",0.4944866,51.7333717
"Pizza Express",-0.21691,51.3577814
"Atomic Pizza",-1.2301369,51.7453536
"Pizza Hut",-2.453098,52.67962
"Pizza Express",-3.1925575,55.9487619
"Pizza Hut",-1.256756,51.7521886
"Pizza Express",-2.2363607,53.4805342
"Pizza Hut",-1.3178577,51.3845699
"Pasta & Pizza Bar",-4.1471751,50.3714239
"Pizza Hut",-4.4972774,55.599035
"Pizza Express",1.4210635,51.332453
"Pizza Hut",-1.2736874,54.5604762
"Pizza Hut",-3.9838741,55.9511742
"Pizza Express",-3.1696703,55.976023
"Pizza Hut",-2.0055822,52.565475
"Pizza Express",-0.0764216,51.7962563
"Pizza Express",-0.1428106,51.5177714
"Pizza Express",-3.2089207,55.9581786
"Pizza Hut",-0.134751,51.509375
"Pizza Hut",-0.1327033,51.5092717
"Pizza Express",-0.132425,51.509327
"Pizza Express",-1.280431,54.5595335
"Pizza Hut",-1.2264933,54.5753005
"Pizza Express",0.2652577,52.3991934
"Pizza Hut",-4.2130917,55.8541165
"Pizza Rotti",-0.1463091,51.506235
"La Pizzaretta",-0.126555,51.51459
"Viva La Pizza (VLP)",-2.1849958,51.4335315
"Pizza Hut",-1.0851322,51.2649004
"Dante Pizza",-6.1761167,53.2874957
"Pizza Hut",-1.2894731,50.6991309
"Pizza Express",-1.2933545,50.699458
"Pizza Express",-0.2072436,51.909282
"Pizza East",-0.0770429,51.5237532
"Independent Pizza Co.",-6.2586635,53.362848
"Da Vinci Pizza",-2.9830934,56.4562197
"Pizza express",-0.144374,51.523518
"Pizza Hut",-1.4934714,53.3695765
"Pizza Hut",-1.2625352,51.7533701
"Pizza Express",-0.1453853,51.510638
"Pizza Express",-2.71706,52.0547839
"Pizza Express",-0.0938096,51.5144535
"Pizza Express",-2.1095332,52.4819367
"Pizza Express",-5.0628583,50.1515243
"Pizza Express",0.5213666,51.2749302
"Pizza Hut",-0.3011571,51.4109791
"Pizza Express",-0.0304787,51.4065835
"Pizza Express",-2.8786755,53.2643434
"Pizza Hut",1.0998913,52.0411594
"Pizza Hut",-2.3578627,53.4635596
"Lido Pizza",-7.1412805,52.1595469
"Pizza Hut",-1.0818315,53.9566201
"Pizza Hut",-1.0797848,53.9584817
"Pizza Express",-1.0818341,53.9598581
"Pizza Express",-0.0997741,51.5132501
"Pizza Express",0.2605024,51.1273153
"Pizza Hut",-0.7552571,51.2906701
"Pizza Express",-0.102067,50.8120976
"Pizza Hut",-0.5726994,51.2369867
"Pizza Hut",-0.3205119,52.5313963
"Pizza Express",-1.5084358,52.4075677
"Pizza Hut",-1.5431095,53.9935948
"Pizza Express",-0.1648988,51.5505733
"Valentino's Pizza",-6.001943,54.752859
"PizzaExpress",-1.1427002,52.9536244
"PizzaExpress",-1.1492926,52.9545278
"Peppers Pasta and Pizza",-5.4805899,50.2135047
"Woolacombe Bay Pizza",-4.204871,51.1715183
"Pizza Express",-2.6045812,51.4555324
"Pizza Express",-0.8939951,52.2368793
"Pizza Provençale",-2.6187994,51.4545542
"Pizza Express",-2.7481363,54.3283235
"Pizza Express",-2.6176756,51.4538401
"The Stolen pizza",-8.5203614,51.7024263
"Pizza Hut",-2.9866614,53.4039415
"Pizza Express",-0.080844,51.652385
"Pizza Express",-3.1875237,55.9505873
"Pizza Express",-3.1777175,55.9507967
"Pizza Hut",-1.6300476,52.8022289
"Pizza Express",-3.5234293,50.4611814
"Pizza Hut",-3.5257398,50.4624725
"Pizza Hut",-2.5980848,51.4535487
"Blueprint Pizza",-6.3428285,54.1746695
"Pizza Hut",0.5321072,51.4012004
"Apache Pizza",-6.8005336,53.177548
"Planet Pizza",-2.5911735,51.4748982
"Pizza Express",0.8988682,51.8903748
"Jojo's Pizza & Kebab",-1.9207836,52.4835935
"Pizza Express",-3.1644552,51.4632744
"Pizza Hut",-3.1788394,51.4817508
"Pizza Express",-0.738725,50.987355
"Pizza Hut",-1.3890251,53.5072685
"Pizza Express",-0.7162359,51.5231385
"Pizza Express",0.7146021,52.2447708
"Café Pizza",-1.1346122,52.9376989
"Pizza Express",-0.8112151,53.0790172
"Pizza Express",-2.1090773,57.1438377
"Pizza Express",-0.1500158,51.4437744
"Pizza Express",-0.1654856,51.4641038
"Pizza Metro Pizza",-0.1661901,51.4609123
"Pizza Express",-0.1405791,50.8211312
"Pizza Express",-0.3057824,51.5123115
"Pizza Metro",-0.1512363,50.8234292
"Pizza Express",-0.1714896,50.8279647
"Pizza Express",-1.3077331,51.0609898
"Pizza Express",-1.1323615,52.6315766
"Pizza Express",-0.1458451,51.3584535
"Otto Pizza",-0.1950872,51.5154993
"Pizza Express",-2.5948159,51.4542824
"Pizza Hut",-0.2082629,51.8999224
"Pizza Hut",-1.4668823,54.9474204
