Name	Category	Country
name_en	category	states_name_en
Cultural Landscape and Archaeological Remains of the Bamiyan Valley	Cultural	Afghanistan
Minaret and Archaeological Remains of Jam	Cultural	Afghanistan
Historic Centres of Berat and Gjirokastra 	Cultural	Albania
Butrint	Cultural	Albania
Al Qal'a of Beni Hammad	Cultural	Algeria
M'Zab Valley	Cultural	Algeria
Djémila	Cultural	Algeria
Timgad	Cultural	Algeria
Kasbah of Algiers	Cultural	Algeria
Madriu-Perafita-Claror Valley	Cultural	Andorra
Los Glaciares National Park	Natural	Argentina
Iguazu National Park	Natural	Argentina
Cueva de las Manos, Río Pinturas	Cultural	Argentina
Ischigualasto / Talampaya Natural Parks	Natural	Argentina
Jesuit Block and Estancias of Córdoba	Cultural	Argentina
Quebrada de Humahuaca	Cultural	Argentina
Monasteries of Haghpat and Sanahin	Cultural	Armenia
Monastery of Geghard and the Upper Azat Valley	Cultural	Armenia
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots	Cultural	Armenia
Kakadu National Park	Mixed	Australia
Sydney Opera House	Cultural	Australia
Willandra Lakes Region	Mixed	Australia
Lord Howe Island Group	Natural	Australia
Gondwana Rainforests of Australia	Natural	Australia
Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park	Mixed	Australia
Shark Bay, Western Australia	Natural	Australia
Fraser Island	Natural	Australia
Australian Fossil Mammal Sites (Riversleigh / Naracoorte)	Natural	Australia
Greater Blue Mountains Area	Natural	Australia
Purnululu National Park	Natural	Australia
Royal Exhibition Building and Carlton Gardens	Cultural	Australia
Australian Convict Sites	Cultural	Australia
Ningaloo Coast	Natural	Australia
Historic Centre of the City of Salzburg	Cultural	Austria
Semmering Railway	Cultural	Austria
Palace and Gardens of Schönbrunn	Cultural	Austria
Hallstatt-Dachstein / Salzkammergut Cultural Landscape	Cultural	Austria
City of Graz – Historic Centre and Schloss Eggenberg	Cultural	Austria
Wachau Cultural Landscape	Cultural	Austria
Historic Centre of Vienna	Cultural	Austria
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower	Cultural	Azerbaijan
Gobustan Rock Art Cultural Landscape	Cultural	Azerbaijan
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun	Cultural	Bahrain
Pearling, Testimony of an Island Economy	Cultural	Bahrain
Historic Mosque City of Bagerhat	Cultural	Bangladesh
Ruins of the Buddhist Vihara at Paharpur	Cultural	Bangladesh
Historic Bridgetown and its Garrison	Cultural	Barbados
Mir Castle Complex	Cultural	Belarus
Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh	Cultural	Belarus
Flemish Béguinages	Cultural	Belgium
The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)	Cultural	Belgium
La Grand-Place, Brussels	Cultural	Belgium
Historic Centre of Brugge	Cultural	Belgium
Major Town Houses of the Architect Victor Horta (Brussels)	Cultural	Belgium
Neolithic Flint Mines at Spiennes (Mons)	Cultural	Belgium
Notre-Dame Cathedral in Tournai	Cultural	Belgium
Plantin-Moretus House-Workshops-Museum Complex	Cultural	Belgium
Stoclet House	Cultural	Belgium
Major Mining Sites of Wallonia	Cultural	Belgium
Belize Barrier Reef Reserve System	Natural	Belize
Royal Palaces of Abomey	Cultural	Benin
City of Potosí	Cultural	Bolivia (Plurinational State of)
Jesuit Missions of the Chiquitos	Cultural	Bolivia (Plurinational State of)
Historic City of Sucre	Cultural	Bolivia (Plurinational State of)
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture	Cultural	Bolivia (Plurinational State of)
Fuerte de Samaipata	Cultural	Bolivia (Plurinational State of)
Noel Kempff Mercado National Park	Natural	Bolivia (Plurinational State of)
Old Bridge Area of the Old City of Mostar	Cultural	Bosnia and Herzegovina
Mehmed Paša Sokolović Bridge in Višegrad	Cultural	Bosnia and Herzegovina
Tsodilo	Cultural	Botswana
Historic Town of Ouro Preto	Cultural	Brazil
Historic Centre of the Town of Olinda	Cultural	Brazil
Historic Centre of Salvador de Bahia	Cultural	Brazil
Sanctuary of Bom Jesus do Congonhas	Cultural	Brazil
Iguaçu National Park	Natural	Brazil
Brasilia	Cultural	Brazil
Serra da Capivara National Park	Cultural	Brazil
Historic Centre of São Luís	Cultural	Brazil
Historic Centre of the Town of Diamantina	Cultural	Brazil
Discovery Coast Atlantic Forest Reserves	Natural	Brazil
Atlantic Forest South-East Reserves	Natural	Brazil
Historic Centre of the Town of Goiás	Cultural	Brazil
Central Amazon Conservation Complex	Natural	Brazil
Pantanal Conservation Area	Natural	Brazil
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves	Natural	Brazil
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks	Natural	Brazil
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea	Cultural	Brazil
São Francisco Square in the Town of São Cristóvão	Cultural	Brazil
Boyana Church	Cultural	Bulgaria
Madara Rider	Cultural	Bulgaria
Thracian Tomb of Kazanlak	Cultural	Bulgaria
Rock-Hewn Churches of Ivanovo	Cultural	Bulgaria
Rila Monastery	Cultural	Bulgaria
Ancient City of Nessebar	Cultural	Bulgaria
Srebarna Nature Reserve	Natural	Bulgaria
Pirin National Park	Natural	Bulgaria
Thracian Tomb of Sveshtari	Cultural	Bulgaria
Ruins of Loropéni	Cultural	Burkina Faso
Angkor	Cultural	Cambodia
Temple of Preah Vihear	Cultural	Cambodia
Dja Faunal Reserve	Natural	Cameroon
L’Anse aux Meadows National Historic Site	Cultural	Canada
Nahanni National Park	Natural	Canada
Dinosaur Provincial Park	Natural	Canada
S<U>G</U>ang Gwaay	Cultural	Canada
Head-Smashed-In Buffalo Jump	Cultural	Canada
Wood Buffalo National Park	Natural	Canada
Historic District of Old Québec	Cultural	Canada
Gros Morne National Park	Natural	Canada
Miguasha National Park	Natural	Canada
Old Town Lunenburg	Cultural	Canada
Rideau Canal	Cultural	Canada
Joggins Fossil Cliffs	Natural	Canada
Landscape of Grand Pré	Cultural	Canada
Red Bay Basque Whaling Station	Cultural	Canada
Cidade Velha, Historic Centre of Ribeira Grande	Cultural	Cape Verde
Manovo-Gounda St Floris National Park	Natural	Central African Republic
Lakes of Ounianga	Natural	Chad
Rapa Nui National Park	Cultural	Chile
Historic Quarter of the Seaport City of Valparaíso	Cultural	Chile
Churches of Chiloé	Cultural	Chile
Humberstone and Santa Laura Saltpeter Works	Cultural	Chile
Sewell Mining Town	Cultural	Chile
Mount Taishan	Mixed	China
The Great Wall	Cultural	China
