Amenity,AmenityName,Latitude,Longitude
pub,"The Front Lounge",53.3444281,-6.267547
sauna,"The Boilerhouse",53.3445776,-6.2666378
pub,"The Lord Edward",53.3431154,-6.2701866
cafe,"The Joy of Chá",53.3451635,-6.2661073
cafe,"",53.3453528,-6.2644065
theatre,"The Button Factory",53.344921,-6.264584
arts_centre,"Project Arts Centre",53.3450081,-6.2663409
theatre,"The New Theatre",53.3449835,-6.2665467
pub,"The Quill (Closed)",53.3459382,-6.2756942
pub,"Thomas Read's",53.344215,-6.2671595
post_box,"",53.3453818,-6.2673757
atm,"",53.3446285,-6.2672727
pub,"The Czech Inn",53.3449133,-6.2679467
pub,"Sin É",53.3459356,-6.2695912
restaurant,"Skinflint",53.344442,-6.266888
restaurant,"CrackBird",53.3442663,-6.2650365
cafe,"Bittersweet Cafe",53.3437335,-6.2688365
cafe,"Cafe Azteca",53.3437082,-6.2690269
restaurant,"Beirut Express",53.3442807,-6.2658706
atm,"",53.3440809,-6.2659743
pub,"Bull & Castle",53.343394,-6.269858
cinema,"Cineworld",53.350213,-6.2676571
pub,"The Woolshed",53.3502723,-6.2671226
post_box,"",53.345965,-6.2688606
post_box,"",53.3430753,-6.2765542
recycling,"",53.3443372,-6.2717422
cafe,"Queen of Tarts",53.3441638,-6.2675578
restaurant,"Christophe's",53.3483131,-6.2771064
post_box,"",53.3440501,-6.2661955
cafe,"Caffé Noto",53.342936,-6.276102
cafe,"The Food Gallery",53.3431185,-6.2766266
post_box,"",53.3460909,-6.2772368
bicycle_rental,"Christchurch Place",53.3434238,-6.2700295
bicycle_rental,"Dame Street",53.34395,-6.266596
post_box,"",53.3432554,-6.2698385
post_office,"",53.3460162,-6.2688864
marketplace,"Temple Bar Market",53.3449356,-6.2653899
marketplace,"Cow's Lane Market",53.3443333,-6.268897
fast_food,"Leo Burdock's",53.3430113,-6.2700551
parking,"Christ Church Car Park",53.3423595,-6.2703342
restaurant,"Les Frères Jacques",53.3442968,-6.2662783
bank,"AIB Capel Street",53.3484294,-6.2689369
pub,"Dice Bar",53.3471088,-6.2803579
pub,"Frank Ryan's",53.3469517,-6.2800795
pub,"J Walshes",53.3504129,-6.2816956
pub,"Turk's Head",53.3447932,-6.2676803
pub,"Mezz",53.3446795,-6.2647682
pub,"O'Shea's Merchant",53.3451273,-6.2757517
pub,"Brazen Head",53.3449779,-6.276351
pub,"Brogan's",53.3442904,-6.2663911
pub,"Cobblestone",53.3498282,-6.2778577
pub,"Beerhouse",53.350934,-6.270098
theatre,"The Ark",53.3450246,-6.2649954
fast_food,"Zaytoon",53.3448876,-6.2673942
post_box,"",53.3488295,-6.2665805
bicycle_rental,"Ormond Quay Upper",53.3460849,-6.268291
bicycle_rental,"Bolton Street",53.3511238,-6.2698726
restaurant,"Wallace's Taverna",53.3463472,-6.2651982
cafe,"Caffe Cagliostro",53.3465844,-6.2649259
bicycle_rental,"Greek Street",53.3468768,-6.2730238
pub,"The Black Sheep",53.3497856,-6.2691542
parking,"Parnell",53.3509453,-6.2670542
bicycle_rental,"High Street",53.3434397,-6.2743957
bicycle_rental,"Jervis Street",53.3482625,-6.2665402
pub,"The Back Lounge",53.3443688,-6.2679333
fast_food,"Eddie Rocket's",53.3442695,-6.2666458
fast_food,"Southern Fried Chicken",53.3442862,-6.2660406
pub,"Sin",53.3445794,-6.2658339
cafe,"The Coffee Company",53.3440584,-6.2655407
restaurant,"Boccaccio",53.3440609,-6.2650223
pharmacy,"City Pharmacy",53.3440589,-6.265437
restaurant,"Kingcharlie's",53.3440594,-6.2653334
doctors,"Dame Street Medical Centre",53.3440599,-6.2652297
restaurant,"Noble House",53.3440604,-6.265126
courthouse,"District Court",53.3448892,-6.2668892
box_office,"Dublin Theatre Festival",53.3449737,-6.266629
cafe,"Stage Door",53.3451912,-6.2658945
cafe,"Stage Door",53.3451901,-6.2658941
restaurant,"Osteria il Baccaro",53.3448694,-6.2650851
fast_food,"Charlie's II Oriental Express",53.3451026,-6.2656413
arts_centre,"La Catedral Studios",53.3432967,-6.2762154
restaurant,"The Lord Edward",53.3430899,-6.2700871
taxi,"",53.3429746,-6.2805799
restaurant,"Pintxo's",53.345131,-6.2650109
pub,"The Oak",53.3442279,-6.2669784
parking,"",53.3488267,-6.2795916
pharmacy,"Reilly's Pharmacy",53.3430032,-6.2758358
place_of_worship,"Destiny Christian Church",53.346748,-6.2667392
cafe,"Insomnia",53.3475941,-6.2656232
cafe,"Munchies",53.3475234,-6.2656117
fast_food,"Wok In",53.347264,-6.2655313
pharmacy,"Health Express",53.3476003,-6.2653966
restaurant,"KOH",53.3474282,-6.2655927
restaurant,"Ciao Bella Roma",53.3450511,-6.267717
cafe,"Amir's Delights",53.3468692,-6.2652089
restaurant,"Botticelli",53.3468307,-6.2653484
cafe,"",53.344813,-6.2664581
place_of_worship,"Capuchin Friary",53.3487561,-6.2747989
bin,"",53.3487399,-6.274695
cafe,"Brendan's Coffee Shop",53.3482304,-6.2717306
school,"Scoil Náisiúnta Clochar na Toirbhirte Cnoc Seoirse",53.3483828,-6.271404
pub,"Delaney",53.3498707,-6.2788764
pub,"McGettigans",53.347312,-6.2803
cafe,"Cinnamon Cafe",53.3468002,-6.2789385
bank,"",53.346552,-6.2792464
restaurant,"Bar Italia",53.3463696,-6.2649943
restaurant,"Eden",53.34489,-6.265681
post_box,"",53.3476262,-6.2824011
college,"Dublin School Of Architecture",53.351753,-6.268702
pub,"The Capel",53.3492625,-6.2704646
citizens_information,"Citizens Information",53.3506584,-6.270685
bicycle_parking,"",53.3507078,-6.2706838
pub,"O'Reilly Bros.",53.3456393,-6.2717761
restaurant,"Milano",53.3454788,-6.2648794
pub,"The Tap",53.3502119,-6.2748187
post_box,"",53.350568,-6.281987
restaurant,"Peppe",53.3506516,-6.2797045
bicycle_parking,"",53.3459833,-6.2753525
bicycle_parking,"",53.3455665,-6.2649632
gym,"",53.3495459,-6.2783542
restaurant,"Boojum Fresh Mexican",53.3473412,-6.2655602
cafe,"Donuts and Coffee",53.3470548,-6.277248
pharmacy,"Lloyds Pharmacy",53.3502152,-6.2819036
clinic,"Blackhall Medical Centre",53.3472343,-6.2816368
pub,"The Belfry (closed down)",53.3504909,-6.2819448
pub,"L Mulligan Grocer",53.350968,-6.2823202
pub,"The Glimmer Man",53.3508069,-6.2821068
restaurant,"Chez Max",53.3437987,-6.2662519
doctors,"Jervis Medical Centre",53.3499693,-6.2672833
pub,"The Richmond",53.3503544,-6.2746953
pub,"The Grange Inn",53.3522029,-6.2797149
restaurant,"BamBoo",53.3441831,-6.2674425
fast_food,"Toki Doki",53.3435249,-6.2699204
bench,"",53.3426336,-6.2673117
post_office,"North King Street",53.3509862,-6.2703532
pub,"The Dean Swift",53.3412468,-6.2746108
clinic,"Family Health Clinic",53.3495909,-6.2794753
clinic,"Charter Medical Group",53.3496708,-6.2783112
car_mechanic,"Sweeney's",53.3441007,-6.2808052
gym,"Bridgefoot Street Gym",53.3457083,-6.2804297
cafe,"Oh Rourkes!",53.3458492,-6.280376
pub,"The Clock",53.3429504,-6.2793973
fast_food,"Sorrento",53.3502109,-6.2828906
pharmacy,"Patrick St. Pharmacy",53.3413662,-6.2725067
bicycle_rental,"Smithfield North",53.3496187,-6.2778311
restaurant,"The Italian Corner",53.3456225,-6.2649981
ticket_office,"Ticketmaster",53.348151,-6.2662982
cafe,"Mochaland Coffee",53.3463068,-6.2656434
fast_food,"P. Borza",53.3431906,-6.2761142
cafe,"Bite of Life",53.3407545,-6.2721474
restaurant,"Hilan",53.3487762,-6.2688011
restaurant,"Cafe Topolis",53.3443032,-6.2675068
cafe,"Abreu's Cafe",53.3451276,-6.2688384
cafe,"Anns Hot Bread Shop",53.3490726,-6.2655027
pub,"Ryan's Bar",53.343275,-6.273416
pub,"Big's Bar",53.3470597,-6.2838128
pub,"Noel Leonards (Closed)",53.3464035,-6.2843718
