Latitude,Longitude
53.3923311,-6.388247
53.2992074,-6.3214899
53.3322861,-6.2648299
53.3524793,-6.3931226
53.3372786,-6.2515833
53.3339606,-6.2457022
53.3454327,-6.2589453
53.3380623,-6.2529672
53.3377383,-6.2522932
53.3431651,-6.2596229
53.3441801,-6.2602542
53.3053431,-6.2203387
53.3083073,-6.2262632
53.3400283,-6.2620085
53.2763284,-6.2088552
53.3728765,-6.2522308
53.2986052,-6.302668
53.2830494,-6.3183579
53.2964273,-6.2602413
53.2898871,-6.2438879
53.288065,-6.3568969
53.2811487,-6.3411871
53.2897919,-6.1998185
53.3514916,-6.2503204
53.3515003,-6.249743
53.3506257,-6.2547264
53.3504726,-6.2553897
53.3922112,-6.249767
53.3099774,-6.2829708
53.386969,-6.3772093
53.3830069,-6.3817415
53.3722389,-6.3893491
53.3429222,-6.2637279
53.3427825,-6.264363
53.3443057,-6.2643544
53.3446285,-6.2672727
53.2884783,-6.1997632
53.2780311,-6.1640843
53.3440809,-6.2659743
53.2964436,-6.260498
53.3530021,-6.3640836
53.3540585,-6.3669989
53.3562353,-6.3752642
53.3473622,-6.2538301
53.3474083,-6.2544052
53.3068611,-6.2223513
53.3340876,-6.2909401
53.3411626,-6.2607064
53.3399932,-6.2604244
53.3509319,-6.2604025
53.3516162,-6.2636817
53.2886771,-6.198706
53.3450946,-6.259431
53.3450365,-6.2594036
53.3453629,-6.2631865
53.3453659,-6.2631363
53.342919,-6.2596864
53.3429779,-6.2596712
53.3226375,-6.2655614
53.3215747,-6.2662363
53.3454668,-6.2550933
53.3491772,-6.250904
53.3117431,-6.2751744
53.2793355,-6.1350281
53.2592782,-6.1967326
53.3403312,-6.2362283
53.3371155,-6.2338349
53.2918387,-6.1348063
53.2922523,-6.135781
53.3704189,-6.2065152
53.370835,-6.205732
53.3709374,-6.2047074
53.2939647,-6.1536783
53.3284671,-6.228836
53.343693,-6.2494694
53.4055759,-6.3782433
53.3378831,-6.2408767
53.3358633,-6.2573236
53.3326017,-6.215604
53.2915773,-6.1341401
53.2885886,-6.1992623
53.2882274,-6.2005086
53.3079169,-6.2366625
53.3013022,-6.1771825
53.3011685,-6.1773166
53.2696137,-6.1664751
53.3571505,-6.2270947
53.3620408,-6.2730179
53.3502854,-6.3796882
53.2999891,-6.2845798
53.3438661,-6.2610776
53.3340994,-6.2651686
53.3356169,-6.2654337
53.3361411,-6.2655026
53.3456489,-6.1954862
53.3371884,-6.2867653
53.3463087,-6.2927215
53.3858511,-6.3741626
53.3386355,-6.3221632
53.3371279,-6.267215
53.3432698,-6.2389455
53.2918043,-6.2455105
53.2921615,-6.2455911
53.2932505,-6.3702069
53.3308758,-6.2341506
53.2843843,-6.2952689
53.2772225,-6.2067013
53.3703398,-6.2681011
53.3464006,-6.2924905
53.3611583,-6.2725737
53.3612402,-6.2728289
53.348081,-6.2640182
53.333993,-6.2449093
53.3330499,-6.2426347
53.3612514,-6.2835574
53.3401292,-6.3207802
53.2765577,-6.208441
53.3294735,-6.2316752
53.267715,-6.1989713
53.3500459,-6.2519395
53.3362152,-6.2570228
53.3384403,-6.2549995
53.3384166,-6.2549045
53.3436951,-6.2603445
53.3234062,-6.2253148
53.3332276,-6.2919714
53.3096107,-6.2838152
53.3383183,-6.254482
53.3885371,-6.1829519
53.3807636,-6.2457989
53.3853964,-6.2586583
53.3860029,-6.2603111
53.2778089,-6.2167688
53.2778213,-6.2174238
53.3946096,-6.3914079
53.3915563,-6.3907906
53.3921592,-6.388912
53.3936665,-6.3910288
53.3938971,-6.3899367
53.3939215,-6.3901662
53.3511754,-6.24958
53.3278652,-6.3440391
53.3608203,-6.2718436
53.3612088,-6.2989921
53.3442255,-6.2969072
53.3491451,-6.2317008
53.3455598,-6.2453684
53.3313277,-6.2612337
53.3484561,-6.2588521
53.3259473,-6.3172907
53.2880643,-6.2424413
53.3856087,-6.065307
53.3886345,-6.0735943
53.2749674,-6.2534872
53.2903492,-6.2668124
53.2903428,-6.2674996
53.3433364,-6.2758252
53.3337897,-6.2620011
53.313644,-6.2383844
53.2931774,-6.1394881
53.3069153,-6.2200241
53.3021876,-6.1792816
53.325447,-6.264894
53.3320378,-6.2943477
53.3409194,-6.2637383
53.3477873,-6.2590635
53.3481237,-6.2592138
53.2769516,-6.103401
53.277678,-6.1051523
53.2941244,-6.133379
