Latitude,Longitude
51.5291251,-0.0933878
51.4398461,0.275245
51.4685804,-0.2109293
51.4467433,-0.0829312
51.5340519,-0.1292356
51.5272918,-0.1182352
51.5258279,-0.090836
51.452863,-0.2555196
51.5299826,-0.1208454
51.525943,-0.1038272
51.5265942,-0.1124691
51.52086,-0.0898853
51.5168236,-0.158217
51.514738,-0.122162
51.4941642,-0.1825313
51.5006193,-0.0945159
51.5178026,-0.0963747
51.5132987,-0.0767054
51.514055,-0.073585
51.512265,-0.0693681
51.4882685,-0.1356287
51.5008135,-0.0898251
51.5244836,-0.1588801
51.5005614,-0.0785684
51.5033783,-0.0795795
51.4950715,-0.0859437
51.5074778,-0.0964056
51.5141598,-0.0806186
51.5164062,-0.0796248
51.5160656,-0.0821208
51.501711,-0.184889
51.5020106,-0.1843794
51.495296,-0.1852709
51.5189937,-0.1247294
51.5199862,-0.1358682
51.5119412,-0.1207367
51.5217081,-0.1304273
51.5156623,-0.1322115
51.5124806,-0.1331689
51.497843,-0.081639
51.5099978,-0.1572125
51.4907973,-0.1961254
51.4915565,-0.1866638
51.512209,-0.1605752
51.5123099,-0.159798
51.4914948,-0.1923398
51.5177016,-0.1277047
51.5121413,-0.1620881
51.4901024,-0.1904652
51.5147013,-0.1651996
51.4935289,-0.1906108
51.4990306,-0.0855933
51.4914523,-0.0901289
51.50218,-0.0742235
51.5250111,-0.1662104
51.5224585,-0.1548451
51.5228776,-0.171659
51.5253204,-0.1534207
51.5219682,-0.1513394
51.5164806,-0.1644169
51.5145248,-0.1582493
51.5168118,-0.1518975
51.5358808,-0.1607051
51.5220697,-0.1658946
51.5181111,-0.1441398
51.5232917,-0.1838678
51.525653,-0.1439844
51.516732,-0.1755494
51.5283547,-0.1700912
51.5222932,-0.1639115
51.5308776,-0.176805
51.517276,-0.1758726
51.5118486,-0.1742442
51.5343598,-0.1681528
51.5153119,-0.1470558
51.5273178,-0.1746666
51.5264732,-0.1721557
51.5205353,-0.1547647
51.533084,-0.1726417
51.5226018,-0.1610399
51.5369137,-0.1501577
51.5146944,-0.1480903
51.5255588,-0.1795048
51.5202373,-0.1570893
51.5140658,-0.1472848
51.5233254,-0.1749676
51.5207401,-0.145077
51.525162,-0.1351735
51.5185711,-0.1766695
51.5233761,-0.1241702
51.5014633,-0.1106665
51.5246755,-0.0844984
51.4908771,-0.1396096
51.5139117,-0.0928172
51.5179015,-0.1084284
51.5232056,-0.104731
51.518703,-0.108026
51.5149127,-0.0661884
51.5233393,-0.1204628
51.5239066,-0.1224916
51.5309127,-0.0938764
51.5326209,-0.0999555
51.5245584,-0.0792166
51.5096054,-0.0746578
51.5159791,-0.1692546
51.5060071,-0.092713
51.5009011,-0.0834731
51.5094277,-0.1243604
51.5194894,-0.1191532
51.5182167,-0.0626907
51.5308977,-0.0785432
51.5217857,-0.1092349
51.523517,-0.1083745
51.5269646,-0.088615
51.5086222,-0.1937263
51.5047845,-0.1925585
51.5065547,-0.1989907
51.5093635,-0.1963624
51.5110896,-0.1974513
51.5031259,-0.1535256
51.5027462,-0.1495454
51.5063587,-0.1701322
51.5027052,-0.155269
51.5030135,-0.1914489
51.5228738,-0.0999595
51.5071995,-0.1061898
51.5067373,-0.1032898
51.5167351,-0.0679765
51.5333485,-0.1117889
51.5329169,-0.1367687
51.5173488,-0.1381061
51.5254864,-0.1382132
51.5202296,-0.1412869
51.5236914,-0.1284389
51.5277009,-0.135219
51.5300106,-0.1387432
51.528806,-0.132219
51.5262719,-0.1342365
51.5092525,-0.1511162
51.5185942,-0.1319689
51.5330737,-0.1391573
51.519158,-0.1404294
51.5267528,-0.1305487
51.5128686,-0.1536427
51.5122489,-0.1575559
51.5107506,-0.144067
51.511854,-0.1428092
51.5099357,-0.1388102
51.5099261,-0.1879073
51.5119098,-0.137033
51.505736,-0.0997941
51.5054388,-0.1056789
51.5158929,-0.0930433
51.5115787,-0.092912
51.5169577,-0.0938057
51.5191667,-0.0882396
51.5209692,-0.0856647
51.5216753,-0.0944215
51.5319758,-0.1054815
51.4943515,-0.0929258
51.5294424,-0.0833719
51.5144632,-0.087655
51.5161104,-0.1285895
51.5190449,-0.0597107
51.5243994,-0.1381545
51.5250667,-0.1311517
51.5257671,-0.0884821
51.5267092,-0.078109
51.5210395,-0.0787478
51.4989718,-0.1122399
51.4948774,-0.1179369
51.4920654,-0.1321804
51.4959517,-0.1354156
51.4921477,-0.1382988
51.5308659,-0.0899377
51.5092478,-0.0847281
51.5234904,-0.1435593
51.5154351,-0.0988025
51.5006254,-0.1019289
51.4989557,-0.1001908
51.5036694,-0.0984831
51.4911214,-0.0971253
51.5205971,-0.1166973
51.4908229,-0.1813008
51.4955248,-0.1791877
51.501172,-0.1802364
51.4939438,-0.178733
51.5135304,-0.1913226
51.4967408,-0.1388126
51.4979978,-0.1438244
51.5018662,-0.159229
51.4939179,-0.1476076
51.4941364,-0.1546085
51.4923631,-0.1476241
51.5070786,-0.1459304
51.4970106,-0.1688434
51.4936445,-0.1649395
51.4965583,-0.1509203
51.4994605,-0.1523253
51.4988176,-0.1654474
51.5012882,-0.1532441
51.4946136,-0.158119
51.493189,-0.1680228
51.4924062,-0.1784098
51.4978783,-0.1838335
51.4901082,-0.1625753
51.489901,-0.1625997
51.4911204,-0.1736894
51.4897439,-0.170213
51.4880393,-0.1668482
51.4907525,-0.1662604
51.4963925,-0.1833189
51.5014446,-0.1784281
51.5119518,-0.0975171
51.510373,-0.082903
51.4921838,-0.1015529
51.5149459,-0.1128579
51.5065038,-0.1232743
51.5149176,-0.1162169
51.5050163,-0.1727204
51.5134227,-0.1167125
51.5117487,-0.1197232
51.5143539,-0.1184678
51.5066732,-0.1318074
51.5076751,-0.1310085
51.5074052,-0.1346541
51.5080025,-0.1259603
51.5084482,-0.1318871
51.5090757,-0.1297453
51.5096898,-0.1314697
51.5175804,-0.1213388
51.5137437,-0.1354451
51.5147078,-0.1374646
51.5144736,-0.1414364
51.5313319,-0.1170132
51.5283866,-0.1010445
51.5264577,-0.1091235
51.5267341,-0.1042855
51.5304569,-0.1064055
51.5282669,-0.1047159
51.5288802,-0.1154187
51.5291648,-0.1099507
51.5278211,-0.108051
51.5318177,-0.1142948
51.5344949,-0.109061
51.5316017,-0.1098139
51.5344856,-0.1069608
51.518294,-0.073013
51.5100248,-0.143456
51.5299424,-0.1235106
51.5262227,-0.1234615
51.5046041,-0.091752
51.4964323,-0.1016196
51.5157896,-0.1052608
51.5137636,-0.107864
51.5159214,-0.1117517
51.5119551,-0.1130868
51.5095708,-0.1189325
51.49487,-0.130571
51.4958161,-0.1275409
51.4939681,-0.1368479
51.4961158,-0.1408068
51.5263533,-0.1259884
51.4882677,-0.1292545
51.4932221,-0.1441729
51.4923183,-0.1413613
51.4935185,-0.1399556
51.4899447,-0.1328188
51.5057988,-0.1365647
51.4853792,-0.1421749
51.488111,-0.1405968
51.4898346,-0.1420411
51.4981579,-0.1319441
51.5164468,-0.1791722
51.5305107,-0.1675245
51.4849179,-0.138124
51.5179138,-0.1879784
51.5148831,-0.1881256
51.5155782,-0.1831178
51.5179177,-0.1836283
51.5156073,-0.1902369
51.5171342,-0.0866949
51.5189019,-0.1560655
51.5142576,-0.2009901
51.5121588,-0.2014902
51.5222681,-0.1140782
51.4986824,-0.1039231
51.4996126,-0.1975031
51.5003154,-0.1930058
51.4973496,-0.1972882
51.4966921,-0.2052401
51.500328,-0.1954288
51.496306,-0.105924
51.5053174,-0.1121933
51.5006354,-0.20258
51.4980775,-0.209433
51.51834,-0.100677
51.4937018,-0.1983817
51.4933174,-0.1947299
51.495839,-0.191833
51.5014095,-0.1915651
51.5189935,-0.0787117
51.5046894,-0.1232506
51.5213009,-0.0845493
51.4974397,-0.089515
51.4907514,-0.1062222
51.4868092,-0.1158493
51.4862611,-0.1222823
51.4936664,-0.1109388
51.4894446,-0.1150931
51.4928622,-0.1149598
51.4848375,-0.1106337
51.4904356,-0.1227603
51.4957118,-0.1110092
51.4889503,-0.1114194
51.4860293,-0.1243796
51.4908575,-0.1168796
51.4999058,-0.1141398
51.5122078,-0.1504797
51.5016896,-0.1800421
51.5172862,-0.1644082
51.5028711,-0.1585685
51.511579,-0.0769961
51.5179934,-0.0904491
51.5166706,-0.1795179
51.4986001,-0.0962169
51.496749,-0.0939661
51.5164498,-0.1242701
51.5197077,-0.1323571
51.4979662,-0.1350178
51.501978,-0.1943344
51.5204359,-0.0973582
51.4968057,-0.1611555
51.5194699,-0.1357112
51.5209345,-0.1388804
51.5134834,-0.1300492
51.5129943,-0.1311279
51.5295083,-0.0970931
51.5109216,-0.151218
51.518131,-0.1349456
51.5092811,-0.1475223
51.5106587,-0.1422425
51.5067859,-0.1506325
51.4971316,-0.1922766
51.4997678,-0.1763095
51.5023489,-0.2007307
51.5360583,-0.1337823
51.5134383,-0.1797408
51.5176816,-0.1540452
51.518062,-0.1635332
51.5136096,-0.1934694
51.5100963,-0.1556915
51.5106248,-0.1216448
51.4994286,-0.1797051
51.4917508,-0.1256999
51.5172781,-0.1035636
51.5125588,-0.1149062
51.5199877,-0.0921929
51.5002682,-0.0927285
51.5226518,-0.0715885
51.5217206,-0.0687427
51.519913,-0.1697838
51.5202313,-0.1744968
51.5198899,-0.1705185
51.5289207,-0.1103306
51.5040171,-0.1053445
51.5040121,-0.1046847
51.5150768,-0.1181399
51.522523,-0.0413785
51.5236148,-0.0749483
51.5246706,-0.0356981
51.5263629,-0.0737486
51.5218653,-0.0466321
51.5059244,-0.0706817
51.493403,-0.0998282
51.4931425,-0.100027
51.5321309,-0.0613514
51.5356615,-0.0623828
51.5246173,-0.1163139
51.5162536,-0.0985197
51.4876144,-0.0214184
51.4880209,-0.1208462
51.5344498,-0.122087
51.5337999,-0.118647
51.4944088,-0.1735182
51.5264682,-0.0286301
51.5281505,-0.0186738
51.5315516,-0.0661886
51.5344715,-0.0763595
51.5347618,-0.0718802
51.5321857,-0.0830865
51.5303024,-0.0427928
51.5311038,-0.0479844
51.5020206,-0.0164532
51.5101384,-0.2114519
51.5091667,-0.2242292
51.5091302,-0.2196248
51.5117249,-0.2059941
51.5173525,-0.1231873
51.5073714,-0.1457414
51.5064519,-0.1430086
51.5013715,-0.2059323
51.4980215,-0.0115551
51.5046482,-0.0141928
51.5063289,-0.2185034
51.5334227,-0.0932016
