PubName,Longitude,Latitude
"The Green Man",-0.1430911,51.5238028
"The Jeremy Bentham",-0.1355991,51.5235442
"Trusty Servant Inn",-1.6013252,50.8981609
"The New Forest",-1.5270942,50.8904874
"The Wyndham Arms",-1.9742222,51.082736
"Milburys",-1.189166,51.0179819
"High Corner Inn",-1.7215,50.8958
"Royal Oak",-1.6709581,50.9262557
"Hare and Hounds",-1.5997844,50.7868975
"The Barge",-1.8568512,51.3535391
"Kings Arms",-0.7251785,51.03503
"Flying Bull",-0.854808,51.0439
"Duke of Cumberland",-0.726258,51.0244
"Hamilton Arms",-0.7791497,50.9932238
"Jolly Drover",-0.8770501,51.0305454
"Red Lion",-0.71755,51.0495
"Black Fox Inn",-0.8179,51.0548045
"Rising Sun",-0.805651,51.0359
"Elsted Inn",-0.8132431,50.9789995
"Keepers Arms",-0.8069641,50.993369
"The Ship",-0.8824119,50.9700184
"White Horse",-0.8504199,51.0083156
"White Hart",-0.8832031,50.9695624
"Five Bells",-0.9500042,50.9766164
"Cricketers Inn",-0.9498667,51.0224274
"Crown Inn",-2.0343697,51.0097183
"Newport Inn",-1.4706524,51.0230922
"The Drift Inn",-1.5038697,50.8545729
"Sir Walter Tyrrell",-1.6192422,50.9131996
"Bell Inn",-1.9900246,51.1390078
"The Red Lion",-1.5494749,50.7837119
"The George Inn",-1.5114974,51.3072223
"The Happy Cheese",-1.5230923,50.8918946
"The Dignity",-0.1945732,51.6008172
"The Catcher in the Rye",-0.1960427,51.5996053
"The Tally Ho",-0.1765046,51.6141038
"Inn for All Seasons",-1.7050619,51.806683
"The Tree",-1.2357353,51.7310912
"Henry Boons",-1.5060469,53.6811457
"The Black Rock",-1.4988685,53.6828125
"The Mexborough Arms",-1.42461,53.7281
"The Kings Arms",-1.4617749,53.6746585
"Ship Inn",-1.4706048,53.5286044
"Fox and Hounds/Lone Barn",-1.31733,50.8829
"The Kings Arms",-1.2321564,51.7082465
"The White Horse",-1.4305534,51.8553749
"Robin Hood",-1.2502902,50.9565412
"Vine Inn",-1.31197,50.8806
"Dukes Head",-0.0918935,51.1362188
"The Station",0.6883706,52.6519748
"Greyhound",0.6888368,52.6476756
"Jolly Sailor",-1.304305,50.8817694
"The Old Red Lion",-0.1907801,51.6475276
"The Pheasant",-2.7136229,53.1039952
"The Nags Head",-2.6508731,53.1161142
"Dysart Arms",-2.646203,53.1184928
"Seaview Hotel",-1.1098075,50.720483
"Crab & Lobster",-1.0739324,50.681946
"The Nook",-1.518587,53.7258813
"Harry's Bar",-1.5033504,53.6810328
"High Down Inn",-1.5427212,50.6717547
"William the Conqueror",0.7633634,50.9389453
"The Griffin",-1.2517664,50.632149
"Fox and Hounds",-0.4783288,52.2522207
"White Hart Inn",-1.2086597,50.7094791
"The Kings Arms",-0.4657872,52.1330884
"The Anchor",-0.4407783,52.1247935
"Ring o' Bells PH",-2.8379403,53.1844793
"Fox and Hounds",-0.5036502,52.164493
"The Hare and Hounds",-0.3401749,52.0821249
"The Five Bells",-0.3889219,52.1233166
"The Kalooki Club",-0.4830202,52.1398103
"The Killingworth Castle Inn",-1.3648877,51.8799615
"The Lamb Inn",-1.5071322,51.8061523
"Crawley Inn",-1.5036035,51.8063148
"The Century",-0.4278577,52.1529968
"The Queens Tavern",-0.4386519,52.14868
"The Paddington",-0.476922,52.1348536
"The Star",-0.4920456,52.1601477
"The Wellington Arms",-0.4688266,52.1413665
"The Balloon",-0.4684423,52.1419264
"The New Sportsman",-0.4325746,52.1459306
"Dew Drop Inn",-0.8146601,51.5264588
"The White Horse",-1.2195084,51.7577316
"Hare and Hounds",-1.2464494,50.6860298
"The Sloop Inn",-1.2266187,50.72504
"Lake Huron",-1.1743575,50.7179707
"The Worsley",-1.2229985,50.6160366
"Four Seasons Inn",-1.222324,50.6138827
"The Taverners",-1.2541425,50.6330129
"The Medina Railway Tavern",-1.2937046,50.7019744
"The Falcon",-1.1659274,50.7234224
"Fountain Inn",-1.1504577,50.6582648
"The Stag Inn",-1.1687344,50.6478693
"The Gardeners Arms",-0.4701926,52.1258739
"The Jolly Cooper",-0.4465462,52.0097939
"The Cross Keys",-0.4665777,52.1367416
"The Wheatsheaf",-1.466119,51.0204872
"Scott Arms",-2.062212,50.617015
"The Gloucester Arms",-0.4618278,52.1204828
"The Foresters Arms",-0.4745553,52.1409683
"The Wishing Well",-1.1242692,50.7167137
