PubName,Longitude,Latitude
"The Old Red Lion",-0.1907801,51.6475276
"Old Manor House",-1.1671044,50.6503278
"The Old Boat",-1.7563313,52.7322828
"Old Comical",-1.1552125,50.6547621
"The Old Bell",-0.6897139,51.5810465
"The Old Five Bells",-0.6594603,51.5331401
"The Old Plough",-1.1186114,52.6751542
"The Old Oak",-0.1873293,51.227235
"The Old Times",1.1824744,52.0589696
"The Old White Horse",-0.1869612,51.9914509
"The Old Library",-1.0834188,52.5986206
"The Old Oak",-0.2642307,52.025415
"The Old Grindstone",-1.5054675,53.3809542
"Ye Olde Talbot Inn",-3.0495879,53.0976927
"Sir John Oldcastle",-0.1058778,51.5197864
"Ye Olde Mitre",-0.1073887,51.518328
"The Old Bell",-3.1791054,55.9349785
"Old Kings Head",0.436608,51.6512958
"The Old Forge",-2.3250538,51.770149
"The Old Ale Emporium",-0.0989841,51.5780399
"The Old Barge",-0.0781327,51.7980568
"The Old Cross Tavern",-0.0813031,51.797009
"The Old Swan",-1.2915336,51.5271557
"The Old Plough",-1.2102966,52.2909538
"Ye Olde Cock Inn",-2.231086,53.4106139
"The Old Prince of Wales",0.8702761,51.1503557
"The Old White Swan",-1.0802871,53.9606153
"The Old Inn",-3.8118602,50.5766294
"Old Crown",0.0812318,52.2426661
"The Old Mill",0.90222,51.1717842
"The Old Crown",-2.3929187,51.3798521
"The Old White Horse",0.2947855,51.5409574
"The Old Bell",-2.0992194,51.5848328
"Ye Olde George Inn",-1.0324032,50.9948422
"The Old Wheatsheaf",-0.0896474,51.6537192
"The Old Rope Walk",-2.9784364,53.403479
"The Old Vaults",-2.7659182,53.0196869
"The Old Coach & Horses",1.054298,51.2828487
"Olde Red Lion",-0.9790221,52.2298187
"The Old Dog",0.3683891,51.5936445
"Old Quay",-3.0800534,53.2926017
"Old Bridge Inn",-1.6066801,53.8159863
"Old Gate Inn",1.1030227,51.262057
"Ye Olde Ship Inn",-0.5794814,51.2257722
"The Old Horse",-1.1157132,52.6245378
"The Old Vicarage",-1.1747804,52.5760268
"Old Crown",-1.1080677,52.5823656
"The Old Forge Inn",-1.1993222,50.9239578
"Ye Olde Windmill Inn",-1.9254373,52.7040955
"Old Hare and Hounds",-1.1885524,52.6716271
"Old Neptune",1.0202935,51.3588242
"Old Mail House",-2.5113083,51.4811484
"Ye Old Two Brewers Inn",-2.1985789,51.0034985
"The Old Bell",-0.3679484,51.8247671
"Old Cock Inn",-0.357433,51.8170631
"The Old Bull / Kolor Bar",-2.697056,53.7583664
"The Old Oak",0.1864527,51.5706219
"Old Black Horse Inn",-1.0003275,52.6241832
"Old Greyhound",-1.0339758,52.5711751
