PubName,Longitude,Latitude
"The Queens Tavern",-0.4386519,52.14868
"The Queen's Head",-0.9564094,51.443092
"The Queen Elizabeth",-0.9856202,51.456298
"Queen Victoria",-0.9736907,52.1855485
"The Queens Arms",-0.1391781,51.4925356
"Queens Arms",-2.2748013,51.9285732
"The Queen's Arms",-0.180893,51.499252
"The Queens Head",-0.1652315,51.399294
"Queen's Head",-0.1351182,51.5108026
"Gypsy Queen",-1.3463819,53.3426801
"Queen's Head",-0.4799554,51.5459241
"Queensbury Arms",-0.1494641,50.8219026
"Queen's Head",-0.8144192,51.8167542
"The New Queen",-2.1890601,53.0369894
"The Queens Larder",-0.1225268,51.5211706
"Queen's Head",-0.5117217,52.193114
"Queens",0.3236281,51.4778633
"Queen Mary",-1.9886627,50.7157065
"The Queens Arms",-0.4992781,51.3690423
"The Queens",-2.9061269,54.3793026
"Queens Head Hotel PH",-2.8352788,52.9971569
"Queens Head",-1.9453235,51.029624
"Queen's Head",0.0994388,52.1246992
"Queens Head",-1.6218667,51.2568655
"British Queen",0.0075185,52.0964563
"Queen in the West",-0.5536285,53.2332246
"The Queens Head",-0.0255587,51.7313445
"Queens Head",0.0720577,52.0926717
"Queens Head",-3.4871812,50.9055035
"The Queen",-1.5876324,53.7888042
"Queen of Bradgate",-1.1377861,52.6354806
"Queen's College Arms",-1.1228534,51.3208372
"Queens Head",-2.2362436,51.8848996
"Queens Arms",-1.6018563,54.9757953
"The Queen and Albert",-0.6830425,51.5873914
"Queen's Head",-0.3221248,51.0604888
"Queen Charlotte",0.507085,51.3863186
"The Queens",-0.3567076,53.7603061
"Queen's Head",-0.3807692,51.5942598
"Queens Head",-2.5518377,51.4729867
"Queens Hotel",-1.1343543,50.7970763
"The Queens Head",-1.3050407,50.9856028
"Queen Victoria",-2.6778423,51.253967
"The Marquis of Queensbury",-1.1332038,52.5801396
"Queen's Head",-0.8659959,52.5053649
"Queen's Head",-1.7225265,54.3029099
"The Queens Arms",-1.0854283,51.2684873
"Queens Head",-1.277497,52.6901835
"Queens Head",-0.5046131,53.9829147
"The Queens Head",0.2732144,51.7391155
"The Old Queen's Head",-0.1003778,51.5372135
"Queen's Head",-0.9394553,52.6175084
"The Queens Arms",-2.530147,53.1904009
"The King & Queen",-1.6075352,51.6138426
"Queen's Head Inn",0.2093174,52.0340313
"Queens Head",-1.423526,52.6950424
"Queens Arms",-2.0001519,53.3633538
"Queen's Head",-1.3690137,52.390957
"Queens Head",0.3552582,51.1839899
"Queens Arms",0.7071322,51.1860332
"The Queens Arms",-1.2488474,51.609952
"The Queen",-0.6474037,51.4781136
"The Queen Elizabeth",-0.0913995,51.4857771
"Queen Adelaide",-2.069983,53.4380109
"The Queen Adelaide",-0.0833068,52.1271325
"The Queens Head",-0.1976654,51.597169
"The Queens",-1.9380656,53.4496805
"Queens Head",-4.8893611,50.3436554
"Queen's Head",-1.5559116,54.7789271
"The Queen Elizabeth",0.0158683,51.630314
"The Queens",-2.3925246,53.5473103
"The Queen's Head",-1.1731202,51.7399086
"The Queen Inn",-1.15987,51.2113556
"The Queens Head",-0.483242,51.2545148
"The Queens Head",-2.5661471,51.4619474
"The King & Queen",-1.1388046,51.7472924
"The Queens Head",-0.4719188,51.7446977
"Queen's Head",-2.4599538,50.9664408
"The Queen's Head",1.1457979,52.3210601
"Queen's Head & Artichoke",-0.1440679,51.5257861
"The Queen Victoria",-3.8314848,53.3274155
"The Queens Head",-3.2074998,53.2898757
"Queens Head",-1.4481733,55.0106756
"Queen Victoria",-3.53684,50.7199002
"The Queen's Head",-0.8746084,51.2698201
"The Queen",-1.7509813,53.7919999
"The Queen",-1.4922055,53.7388883
