PubName,Longitude,Latitude
"The Queens Tavern",-0.4386519,52.14868
"The Taverners",-1.2541425,50.6330129
"The Medina Railway Tavern",-1.2937046,50.7019744
"Vectis Tavern",-1.2977851,50.7624958
"Kings Tavern",-0.956002,51.4534663
"Green Park Tavern",-2.3684174,51.3786642
"Oxford Tavern",-0.7000422,52.3004241
"Park Tavern",-0.6914233,52.3050076
"The Langley Tavern",-1.3681068,50.807426
"Railway Tavern",0.1397008,52.1482261
"Odd House Tavern",-0.7257115,52.6725981
"Northbridge Tavern",-1.1426933,52.6412323
"The Bridle Lane Tavern",-1.1266324,52.6438921
"Ship Tavern",-0.1192378,51.5172525
"The Wakey Tavern",-1.4942694,53.6830185
"The Tavern",-2.210445,53.056945
"Shortlands Tavern",0.00341810000001,51.4053384
"The Old Cross Tavern",-0.0813031,51.797009
"Alma Tavern",-2.6147904,51.4624825
"The Crosspool Tavern",-1.5189806,53.379999
"St James Tavern",-0.1341591,51.5108812
"Pembury Tavern",-0.0593789,51.5493776
"The Star Tavern",-0.1558735,51.4984557
"Rugby Tavern",-1.5119696,52.3106119
"The Park Tavern",0.2504464,51.5098108
"Woodberry Tavern",-0.0818517,51.5783459
"Dyke Tavern",-0.1552003,50.8387168
"Regency Tavern",-0.1487955,50.8229259
"Otley Tavern",-1.693182,53.9043477
"Uplands Tavern",-3.9667147,51.6183663
"The Churchill Tavern",1.4143756,51.3291057
"Hamiltons Tavern",1.4212489,51.3350763
"Lockside Tavern",-2.487884,53.7376493
"The Chilton Tavern",1.3918672,51.331096
"Guildhall Tavern",-1.9876489,50.7141484
"The Wall Tavern",1.0240116,51.3581935
"The Park Tavern",-0.2875532,51.4195033
"Alexandra Tavern",-0.2885258,51.4183502
"The Thatched Tavern",-0.8675627,50.7756764
"Brownswood Park Tavern",-0.0925928,51.5639368
"Kissane Taverns Portman Arms",-0.1737976,51.5227864
"The Midway Tavern",-2.1434643,53.4145797
"The Crosshills Tavern",-1.3541267,53.6138347
"The Woodlands Tavern",-0.3376386,51.4729787
"Flight Tavern",-0.2027622,51.142677
"New Hall Tavern",-2.6191534,53.7580339
"Richmond Tavern",-2.91476,53.3903707
"The Railway Tavern",-0.1658625,51.3693298
"The Black Rose Tavern",-3.1981185,55.9526722
"Punch Tavern",1.1194189,51.3244016
"Junction Tavern",-1.1431275,50.7988297
"The Eagle Tavern",-1.5353638,53.8059492
"Old Market Tavern",-2.3504318,53.3892795
"John Harvey Tavern",0.0165726,50.8739794
"The Westbury Park Tavern",-2.6117292,51.4805308
"The Thatched Tavern",-2.5265397,53.2554426
"The Phoenix Tavern",0.8934845,51.3179127
"St James Tavern",-1.3225823,51.0631902
"The Tavern in the Port",-4.2053838,51.0167964
"Cannon Tavern",-0.0334707,51.815073
"Town Hall Tavern",-1.5513647,53.7995127
"Great Eastern Tavern",-0.06875,51.799484
"Park Tavern",-0.111273,51.5680681
"The Windmill Tavern",-0.2972456,52.5508627
"Burlington Tavern",-0.3344638,53.7441099
"The Olton Tavern",-1.7826982,52.4391286
"The Platform Tavern",-1.4035502,50.8963651
"Hallgate Tavern",-0.4125656,53.7822201
"Bridge Tavern",-1.1061033,50.7917816
"The Chemic Tavern",-1.552881,53.8145142
"Railway Tavern",-2.3991501,51.629237
"Burton Old Cottage Tavern",-1.645255,52.809182
"Coopers Tavern",-1.6377677,52.8047746
"The Union Tavern",-0.2014159,51.5227632
"Crossways Tavern",-2.4878103,51.2833935
"Marston Green Tavern",-1.7530435,52.4678882
"Post Office Tavern",-2.6167353,51.4910443
"The Whitehill Tavern",0.1615887,51.0484494
"Eagle Tavern",0.5055019,51.3877702
"Downend Tavern",-2.5167564,51.4846724
"The Railway Tavern",-2.7868293,50.8805378
"Swan Tavern",-3.6057586,55.9761893
"Glengall Tavern",-0.0712521,51.4796645
"High Park Tavern",-1.1463363,50.7196199
"Market Tavern",-2.7007136,53.7604341
"Oakhill Tavern",-0.017454,51.4068754
"The Smuggler's Tavern",-0.1510002,51.3188581
"Goose Tavern",-6.2399383,53.3756685
"Harehill Tavern",-2.0405582,53.4515832
"Humber Tavern",-0.235432,53.720149
"Ailsa Tavern",-0.322783,51.4605376
