unique_number,id_no,name_en,short_description_en,date_inscribed,danger_list,longitude,latitude,area_hectares,category,states_name_en,name_en,iso_code,udnp_code,transboundary
230,208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,"<p>The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.</p>",2003,Y 2003,67.8252500000,34.8469400000,158.9265,Cultural,Afghanistan,Asia and the Pacific,af,afg,0
234,211,Minaret and Archaeological Remains of Jam,"<p>The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.</p>",2002,Y 2002,64.5160555600,34.3965555600,70.0000,Cultural,Afghanistan,Asia and the Pacific,af,afg,0
1590,569,Historic Centres of Berat and Gjirokastra ,"<p>Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It features a castle, locally known as the Kala, most of which was built in the 13th century, although its origins date back to the 4th century BC. The citadel area numbers many Byzantine churches, mainly from the 13th century, as well as several mosques built under the Ottoman era which&nbsp;began&nbsp;in 1417. Gjirokastra, in the Drinos river valley in southern Albania, features a series of outstanding two-story&nbsp;houses which were developed in the 17th century. The town also retains a bazaar, an 18th-century mosque and two churches of the same period.</p>",2005,,20.1333333300,40.0694444400,58.9000,Cultural,Albania,Europe and North America,al,alb,0
1563,570,Butrint,"<p>Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city&rsquo;s development.</p>",1992,,20.0261111100,39.7511111100,3980.0000,Cultural,Albania,Europe and North America,al,alb,0
111,102,Al Qal'a of Beni Hammad,"<p>In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria.</p>",1980,,4.7868400000,35.8184400000,150.0000,Cultural,Algeria,Arab States,dz,dza,0
209,188,M'Zab Valley,"<p>A traditional human habitat, created in the 10th century by the Ibadites around their five <em>ksour</em> (fortified cities), has been preserved intact in the M&rsquo;Zab valley. Simple, functional and perfectly adapted to the environment, the architecture of M&rsquo;Zab was designed for community living, while respecting the structure of the family. It is a source of inspiration for today&rsquo;s urban planners.</p>",1982,,3.6833300000,32.4833300000,665.0300,Cultural,Algeria,Arab States,dz,dza,0
212,191,Djémila,"<p>Situated 900 m above sea-level, Dj&eacute;mila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.</p>",1982,,5.7366700000,36.3205600000,30.6000,Cultural,Algeria,Arab States,dz,dza,0
215,194,Timgad,"<p>Timgad lies on the northern slopes of the Aur&egrave;s mountains and was created <em>ex nihilo</em> as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the <em>cardo</em> and <em>decumanus</em>, the two perpendicular routes running through the city, it is an excellent example of Roman town planning.</p>",1982,,6.6333300000,35.4500000000,90.5400,Cultural,Algeria,Arab States,dz,dza,0
667,565,Kasbah of Algiers,"<p>The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.</p>",1992,,3.0602800000,36.7833300000,60.0000,Cultural,Algeria,Arab States,dz,dza,0
1487,1160,Madriu-Perafita-Claror Valley,"<p>The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open pastures and steep wooded valleys, covers an area of 4,247 ha, 9% of the total area of the principality. It reflects past changes in climate, economic fortune and social systems, as well as the persistence of pastoralism and a strong mountain culture, notably the survival of a communal land-ownership system dating back to the 13th century. The site features houses, notably summer settlements, terraced fields, stone tracks and evidence of iron smelting.</p>",2004,,1.5955555560,42.4947222200,4247.0000,Cultural,Andorra,Europe and North America,ad,and,0
160,145,Los Glaciares National Park,"<p>The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into the milky grey glacial water, launching massive igloo icebergs into the lake with thunderous splashes.</p>",1981,,-73.2494400000,-50.0000000000,726927.0000,Natural,Argentina,Latin America and the Caribbean,ar,arg,0
340,303,Iguazu National Park,"<p>The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans.</p>",1984,,-54.1333333300,-25.5180555600,55000.0000,Natural,Argentina,Latin America and the Caribbean,ar,arg,0
1091,936,"Cueva de las Manos, Río Pinturas","<p>The Cueva de las Manos, R&iacute;o Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also many depictions of animals, such as guanacos (<em>Lama guanicoe</em> ), still commonly found in the region, as well as hunting scenes. The people responsible for the paintings may have been the ancestors of the historic hunter-gatherer communities of Patagonia found by European settlers in the 19th century.</p>",1999,,-70.6666666700,-47.1500000000,600.0000,Cultural,Argentina,Latin America and the Caribbean,ar,arg,0
